Transaction ID,Account Number,Sort Code,Bank,Check Digits,SWIFT code,Country Code,,, Transaction ID ,IBAN,,,,,,,
3888,62230725,959882,Data Source Bank,12,DSBX,GB,,," 3,888 ",GB12DSBX95988262230725,,,,,,,
4746,83172326,428638,Barclays Bank,22,BARC,GB,,," 4,746 ",GB22BARC42863883172326,,,,,,,
5404,34302539,532821,Barclays Bank,22,BARC,GB,,," 5,404 ",GB22BARC53282134302539,,,,,,,
9013,13350031,938771,Natwest,2L,NWBK,GB,,," 9,013 ",GB2LNWBK93877113350031,,,,,,,
2535,68745993,571432,Barclays Bank,22,BARC,GB,,," 2,535 ",GB22BARC57143268745993,,,,,,,
4656,60830548,798274,Barclays Bank,22,BARC,GB,,," 4,656 ",GB22BARC79827460830548,,,,,,,
1245,68373125,508466,HSBC,4B,HBUK,GB,,," 1,245 ",GB4BHBUK50846668373125,,,,,,,
9741,43638730,565939,HSBC,4B,HBUK,GB,,," 9,741 ",GB4BHBUK56593943638730,,,,,,,
1671,77144031,195544,HSBC,4B,HBUK,GB,,," 1,671 ",GB4BHBUK19554477144031,,,,,,,
1298,30601237,426356,Santander,3E,ABBY,GB,,," 1,298 ",GB3EABBY42635630601237,,,,,,,
7086,56630552,597744,Data Source Bank,12,DSBX,GB,,," 7,086 ",GB12DSBX59774456630552,,,,,,,
3959,82773607,355987,Barclays Bank,22,BARC,GB,,," 3,959 ",GB22BARC35598782773607,,,,,,,
6400,38383736,804362,Santander,3E,ABBY,GB,,," 6,400 ",GB3EABBY80436238383736,,,,,,,
4870,79724968,510741,Lloyds Bank,C1,LOYD,GB,,," 4,870 ",GBC1LOYD51074179724968,,,,,,,
7778,38687214,550738,Barclays Bank,22,BARC,GB,,," 7,778 ",GB22BARC55073838687214,,,,,,,
1425,96930299,747892,HSBC,4B,HBUK,GB,,," 1,425 ",GB4BHBUK74789296930299,,,,,,,
1314,71210735,618579,Data Source Bank,12,DSBX,GB,,," 1,314 ",GB12DSBX61857971210735,,,,,,,
2774,10519002,575487,HSBC,4B,HBUK,GB,,," 2,774 ",GB4BHBUK57548710519002,,,,,,,
1493,12193988,865442,Data Source Bank,12,DSBX,GB,,," 1,493 ",GB12DSBX86544212193988,,,,,,,
5644,77656886,218417,Barclays Bank,22,BARC,GB,,," 5,644 ",GB22BARC21841777656886,,,,,,,
8664,51052559,210904,Santander,3E,ABBY,GB,,," 8,664 ",GB3EABBY21090451052559,,,,,,,
8110,40072077,659052,Santander,3E,ABBY,GB,,," 8,110 ",GB3EABBY65905240072077,,,,,,,
1572,72219605,885325,HSBC,4B,HBUK,GB,,," 1,572 ",GB4BHBUK88532572219605,,,,,,,
3279,58721386,348432,HSBC,4B,HBUK,GB,,," 3,279 ",GB4BHBUK34843258721386,,,,,,,
3892,53393048,236518,Santander,3E,ABBY,GB,,," 3,892 ",GB3EABBY23651853393048,,,,,,,
5042,53092685,239144,HSBC,4B,HBUK,GB,,," 5,042 ",GB4BHBUK23914453092685,,,,,,,
1673,59488515,925752,Halifax,22,HLFX,GB,,," 1,673 ",GB22HLFX92575259488515,,,,,,,
9992,10170574,716940,HSBC,4B,HBUK,GB,,," 9,992 ",GB4BHBUK71694010170574,,,,,,,
6948,13213297,165865,Halifax,22,HLFX,GB,,," 6,948 ",GB22HLFX16586513213297,,,,,,,
9181,67860804,969240,Barclays Bank,22,BARC,GB,,," 9,181 ",GB22BARC96924067860804,,,,,,,
7066,85919526,541003,Santander,3E,ABBY,GB,,," 7,066 ",GB3EABBY54100385919526,,,,,,,
5778,70255646,757834,Santander,3E,ABBY,GB,,," 5,778 ",GB3EABBY75783470255646,,,,,,,
3890,75951736,700374,Santander,3E,ABBY,GB,,," 3,890 ",GB3EABBY70037475951736,,,,,,,
1126,69969270,458255,Lloyds Bank,C1,LOYD,GB,,," 1,126 ",GBC1LOYD45825569969270,,,,,,,
8403,85946847,292709,Natwest,2L,NWBK,GB,,," 8,403 ",GB2LNWBK29270985946847,,,,,,,
1327,60934362,253188,Santander,3E,ABBY,GB,,," 1,327 ",GB3EABBY25318860934362,,,,,,,
4580,57383660,247299,Halifax,22,HLFX,GB,,," 4,580 ",GB22HLFX24729957383660,,,,,,,
7353,21915880,137660,Halifax,22,HLFX,GB,,," 7,353 ",GB22HLFX13766021915880,,,,,,,
1952,53786334,212754,Data Source Bank,12,DSBX,GB,,," 1,952 ",GB12DSBX21275453786334,,,,,,,
2882,72954282,434740,HSBC,4B,HBUK,GB,,," 2,882 ",GB4BHBUK43474072954282,,,,,,,
4859,66763721,663074,HSBC,4B,HBUK,GB,,," 4,859 ",GB4BHBUK66307466763721,,,,,,,
4060,37658820,583723,Natwest,2L,NWBK,GB,,," 4,060 ",GB2LNWBK58372337658820,,,,,,,
6933,56478271,411926,Santander,3E,ABBY,GB,,," 6,933 ",GB3EABBY41192656478271,,,,,,,
4756,94377199,266385,Santander,3E,ABBY,GB,,," 4,756 ",GB3EABBY26638594377199,,,,,,,
4251,27270504,644821,Halifax,22,HLFX,GB,,," 4,251 ",GB22HLFX64482127270504,,,,,,,
4102,50508460,596601,Halifax,22,HLFX,GB,,," 4,102 ",GB22HLFX59660150508460,,,,,,,
9137,78873999,413160,Data Source Bank,12,DSBX,GB,,," 9,137 ",GB12DSBX41316078873999,,,,,,,
7809,33725878,196114,Natwest,2L,NWBK,GB,,," 7,809 ",GB2LNWBK19611433725878,,,,,,,
9307,22610455,347628,Natwest,2L,NWBK,GB,,," 9,307 ",GB2LNWBK34762822610455,,,,,,,
9415,44418182,444781,Santander,3E,ABBY,GB,,," 9,415 ",GB3EABBY44478144418182,,,,,,,
2902,62609049,673570,HSBC,4B,HBUK,GB,,," 2,902 ",GB4BHBUK67357062609049,,,,,,,
2031,61059913,734850,Santander,3E,ABBY,GB,,," 2,031 ",GB3EABBY73485061059913,,,,,,,
4856,38183636,747211,HSBC,4B,HBUK,GB,,," 4,856 ",GB4BHBUK74721138183636,,,,,,,
