Account Number,Account Type,Balance Date,Balance,Account  Holder ID
10005367,Platinum,1/31/2023,728.25,70390615
10011977,Basic,1/31/2023,676.54,20123998
10024680,Platinum,1/31/2023,567.46,54374080
10031238,Basic,1/31/2023,576.52,97027297
10034341,Joint,1/31/2023,390.39,89920386
10034341,Joint,1/31/2023,390.39,97325900
10079965,Basic,1/31/2023,799.27,89460366
10091076,Platinum,1/31/2023,831.83,53258828
10231977,Basic,1/31/2023,61.63,41402857
10232603,Gold,1/31/2023,732.55,8882143
10243581,Gold,1/31/2023,104.27,84620072
10271519,Platinum,1/31/2023,50.02,36711164
10273387,Gold,1/31/2023,581.83,90848186
10288821,Gold,1/31/2023,642.41,20689914
10295384,Gold,1/31/2023,153.85,32962946
10350324,Gold,1/31/2023,861.81,93891526
10437896,Gold,1/31/2023,661.08,70146385
10449180,Basic,1/31/2023,228.24,95870139
10464544,Gold,1/31/2023,755.99,41781256
10473116,Platinum,1/31/2023,387.7,97862441
10521885,Gold,1/31/2023,54.87,35970899
10553619,Basic,1/31/2023,756.2,58583983
10554116,Platinum,1/31/2023,243.95,12156910
10586481,Platinum,1/31/2023,73.83,17507603
10608220,Platinum,1/31/2023,632.92,15333783
10631690,Gold,1/31/2023,947.45,57436121
10675607,Gold,1/31/2023,284.84,973472
10725127,Basic,1/31/2023,984.69,34435244
10769769,Basic,1/31/2023,906.91,92082288
10783139,Basic,1/31/2023,992.98,89483120
10799356,Gold,1/31/2023,915.04,26582406
10819898,Basic,1/31/2023,750.25,75138469
10842511,Gold,1/31/2023,651.77,38976460
10847941,Gold,1/31/2023,40.25,61540658
10864084,Gold,1/31/2023,119.98,69466662
10942334,Gold,1/31/2023,55.42,49175412
10949168,Gold,1/31/2023,471.8,62982083
10989769,Gold,1/31/2023,334.18,21915830
11008868,Basic,1/31/2023,271.3,19255220
11026937,Gold,1/31/2023,303.44,84578260
11061291,Gold,1/31/2023,72.7,25497383
11067879,Basic,1/31/2023,481.56,38034670
11110085,Basic,1/31/2023,861.29,11657827
11150945,Gold,1/31/2023,858.83,17900058
11228111,Basic,1/31/2023,130.36,13413964
11242986,Platinum,1/31/2023,344.68,44904185
11251776,Basic,1/31/2023,504.02,17643987
11302888,Basic,1/31/2023,458.83,99386553
11306584,Basic,1/31/2023,522.4,67065188
11333185,Gold,1/31/2023,693.23,12386822
11346696,Basic,1/31/2023,661.99,82550379
11359678,Platinum,1/31/2023,837.17,24053861
11360263,Joint,1/31/2023,136.79,62645453
11360263,Joint,1/31/2023,136.79,45852098
11368995,Gold,1/31/2023,565.8,52131845
11437275,Platinum,1/31/2023,115.34,54939523
11438427,Basic,1/31/2023,484.08,12807209
11463412,Platinum,1/31/2023,342.53,62319872
11475827,Platinum,1/31/2023,363.88,20954905
11522216,Basic,1/31/2023,590.37,3180528
11662506,Basic,1/31/2023,573.89,41390313
11694020,Platinum,1/31/2023,379.2,30037735
11717885,Basic,1/31/2023,6.06,61323976
11728970,Basic,1/31/2023,711.65,85857823
11736814,Basic,1/31/2023,381.51,73941848
11744491,Basic,1/31/2023,105.92,48080791
11764022,Gold,1/31/2023,286.66,37448131
11778031,Gold,1/31/2023,514.7,34747616
11790056,Basic,1/31/2023,49.7,67432721
11804173,Gold,1/31/2023,353.62,21694594
11826060,Platinum,1/31/2023,782.13,62032743
11831265,Gold,1/31/2023,292.14,325777
11836917,Gold,1/31/2023,650.14,49233956
