,Account Holder ID,Name,Date of Birth,Contact Number,First Line of Address,Account Number,Account Type,Balance Date,Balance
0,20123998,Maynord Surgeoner,21/08/1997,7716107305,6422 Buena Vista Plaza,10011977,Basic,2023-01-31,676.54
1,97027297,Blake Dudson,30/06/1955,7253587445,2 Huxley Hill,10031238,Basic,2023-01-31,576.52
2,89460366,Kayla Emtage,12/10/1987,7867994451,8 Green Ridge Alley,10079965,Basic,2023-01-31,799.27
3,41402857,Federico Cathro,13/12/1985,7283906757,12 Green Hill,10231977,Basic,2023-01-31,61.63
4,8882143,Kizzee Puddephatt,18/10/2003,7598835878,72404 Maywood Avenue,10232603,Gold,2023-01-31,732.55
5,84620072,Kalvin Duetschens,27/03/1965,7727619510,19032 Duke Parkway,10243581,Gold,2023-01-31,104.27
6,90848186,Mead Yuryshev,25/01/1981,7380168367,7739 Amoth Circle,10273387,Gold,2023-01-31,581.83
7,20689914,Susy Haggus,28/03/1948,7518352243,507 Vahlen Parkway,10288821,Gold,2023-01-31,642.41
8,32962946,Marv Bohlje,20/04/1939,7554179551,8230 Ilene Alley,10295384,Gold,2023-01-31,153.85
9,93891526,Ingelbert Row,30/12/1971,7181002596,3 Crowley Road,10350324,Gold,2023-01-31,861.81
10,70146385,Myron Tarver,24/02/2002,7625576241,5621 Dunning Park,10437896,Gold,2023-01-31,661.08
11,95870139,Ellissa Blanchette,30/07/2000,7252539589,56762 Green Ridge Circle,10449180,Basic,2023-01-31,228.24
12,41781256,Paulie Chaster,01/07/1943,7345799580,2111 Lawn Point,10464544,Gold,2023-01-31,755.99
13,35970899,Gonzales McKyrrelly,01/03/1987,7216983512,300 Dakota Trail,10521885,Gold,2023-01-31,54.87
14,58583983,Dud Gaunt,04/12/1983,7681115087,3 Canary Avenue,10553619,Basic,2023-01-31,756.2
15,57436121,Bambie Lucia,31/03/1975,7125960973,42613 Merchant Trail,10631690,Gold,2023-01-31,947.45
16,973472,Rinaldo Vischi,05/07/1951,7520389345,3 Carioca Plaza,10675607,Gold,2023-01-31,284.84
17,34435244,Adeline Oxer,22/11/1998,7810160404,97044 Meadow Vale Avenue,10725127,Basic,2023-01-31,984.69
18,92082288,Babbette Bromby,24/05/1936,7355990194,447 Dwight Circle,10769769,Basic,2023-01-31,906.91
19,89483120,Raquel Horlock,20/02/1958,7436164073,3 Kropf Road,10783139,Basic,2023-01-31,992.98
20,26582406,Emmi Sinnie,29/01/1954,7304047316,76493 Jenifer Place,10799356,Gold,2023-01-31,915.04
21,75138469,Tilly Windrum,06/07/1936,7118255337,7020 Elka Court,10819898,Basic,2023-01-31,750.25
22,38976460,Allister Hubane,08/06/1947,7233258006,43 Service Pass,10842511,Gold,2023-01-31,651.77
23,61540658,Clywd Turbat,21/01/1946,7296463835,1843 Elka Road,10847941,Gold,2023-01-31,40.25
24,69466662,Dyana Gianullo,27/11/1988,7517614468,763 Fulton Trail,10864084,Gold,2023-01-31,119.98
25,49175412,Reeta Dibling,19/08/1941,7326381208,78 Bellgrove Parkway,10942334,Gold,2023-01-31,55.42
26,62982083,Germayne Ikin,13/01/1999,7903230372,81716 3rd Drive,10949168,Gold,2023-01-31,471.8
27,21915830,Raf Wittrington,09/09/2003,7259146148,41656 Pawling Road,10989769,Gold,2023-01-31,334.18
28,19255220,Gabriele Willerstone,06/01/1978,7684114207,596 Blaine Alley,11008868,Basic,2023-01-31,271.3
29,84578260,Jessamyn Barnett,28/08/1953,7854822534,59 Butternut Parkway,11026937,Gold,2023-01-31,303.44
30,25497383,Mireielle Lawrenceson,23/09/1970,7551306712,37754 Bluestem Crossing,11061291,Gold,2023-01-31,72.7
31,38034670,Anneliese Barkley,03/04/1943,7914911468,883 Merrick Trail,11067879,Basic,2023-01-31,481.56
32,11657827,Constance Heinel,03/09/1958,7146217467,94 Calypso Place,11110085,Basic,2023-01-31,861.29
33,17900058,Augusto Rosi,13/12/1998,7346948390,326 Glacier Hill Place,11150945,Gold,2023-01-31,858.83
34,13413964,Shae Oxberry,05/08/1938,7802003865,9401 Village Pass,11228111,Basic,2023-01-31,130.36
35,17643987,Donelle Francomb,27/03/1942,7748355407,61 Stephen Junction,11251776,Basic,2023-01-31,504.02
36,99386553,Gwennie Blyde,23/12/1949,7437628743,91310 Norway Maple Pass,11302888,Basic,2023-01-31,458.83
37,67065188,Ilario Paschek,17/07/1963,7909311703,61 Declaration Alley,11306584,Basic,2023-01-31,522.4
38,12386822,Tandi Aberkirdo,13/05/2001,7224213952,40 Buell Crossing,11333185,Gold,2023-01-31,693.23
39,82550379,Sonnnie Lettington,10/09/1956,7690573888,6 Homewood Junction,11346696,Basic,2023-01-31,661.99
40,52131845,Joaquin Farmer,24/08/1969,7269186644,7539 Lotheville Circle,11368995,Gold,2023-01-31,565.8
41,12807209,Lora Umpleby,03/04/1952,7470603316,953 Pierstorff Court,11438427,Basic,2023-01-31,484.08
42,3180528,Trudey Mesnard,16/07/1951,7542328881,8 Esker Road,11522216,Basic,2023-01-31,590.37
43,41390313,Leigh Slimings,12/11/2002,7112224952,5841 Florence Circle,11662506,Basic,2023-01-31,573.89
44,61323976,Mateo Gillyatt,25/02/1999,7127034551,71441 Glacier Hill Plaza,11717885,Basic,2023-01-31,6.06
45,85857823,Nikos Gallihaulk,16/08/2004,7619566023,702 Glendale Lane,11728970,Basic,2023-01-31,711.65
46,73941848,Meghann Tucker,30/01/1938,7367647078,5 Beilfuss Court,11736814,Basic,2023-01-31,381.51
47,48080791,Adrian Beincken,30/12/1932,7111723325,613 Division Point,11744491,Basic,2023-01-31,105.92
48,37448131,Dahlia Mannion,27/10/1950,7146053615,54594 Mcbride Trail,11764022,Gold,2023-01-31,286.66
49,34747616,Chris Lumbers,28/03/1999,7525937324,9489 Barnett Hill,11778031,Gold,2023-01-31,514.7
50,67432721,Nettie Dighton,20/07/2000,7733172782,18 Bobwhite Way,11790056,Basic,2023-01-31,49.7
51,21694594,Aili Blaydon,17/03/2003,7229489452,15 Northridge Trail,11804173,Gold,2023-01-31,353.62
52,325777,Brier Sterricker,06/04/2002,7227149230,527 Comanche Parkway,11831265,Gold,2023-01-31,292.14
53,49233956,Maggie Ellison,17/03/1983,7390795992,892 Truax Pass,11836917,Gold,2023-01-31,650.14
54,21844263,Harrietta McIlwrath,12/05/1971,7319685775,88637 Rutledge Point,11846043,Basic,2023-01-31,915.59
55,50701874,Maggi Huard,01/08/1935,7487245589,51 7th Place,11882775,Basic,2023-01-31,299.41
56,99328958,Sloane Gierek,25/01/1933,7887938756,97121 Summit Pass,11910409,Gold,2023-01-31,241.22
57,14770865,Tomasine Treend,17/01/1942,7674822587,906 Vera Street,12035637,Gold,2023-01-31,461.35
58,57866188,Tiertza Benedidick,23/01/1961,7247802567,63614 Paget Junction,12042151,Gold,2023-01-31,336.44
